employee_id,project_id,role
1,101,Developer
2,103,Support
3,102,Support
3,107,Lead
3,104,Developer
4,102,Lead
4,105,Developer
4,107,Lead
6,103,Developer
6,108,Lead
7,103,Lead
7,102,Analyst
7,107,Analyst
8,103,Lead
8,101,Support
9,102,Lead
11,104,Analyst
11,101,Developer
12,108,Developer
13,103,Support
13,109,Analyst
13,106,Lead
14,107,Analyst
14,104,Lead
14,105,Support
16,106,Support
16,108,Developer
16,105,Analyst
17,102,Lead
18,109,Analyst
19,104,Developer
19,101,Analyst
19,108,Developer
21,106,Developer
22,104,Support
22,105,Analyst
22,106,Analyst
23,108,Support
23,104,Support
23,107,Analyst
24,102,Support
26,107,Support
26,109,Developer
27,102,Lead
27,101,Developer
27,104,Analyst
28,104,Support
29,107,Analyst
1,101,Lead
1,102,Lead
2,103,Lead
7,108,Lead
