salary_id,employee_id,salary,effective_date
1,1,55000,2023-01-01
2,1,60000,2024-01-01
3,1,65000,2025-01-01
4,2,70000,2023-01-01
5,2,75000,2024-01-01
6,2,80000,2025-01-01
7,3,50000,2023-01-01
8,3,55000,2024-01-01
9,3,60000,2025-01-01
10,4,40000,2023-01-01
11,4,45000,2024-01-01
12,4,50000,2025-01-01
13,5,70000,2023-01-01
14,5,75000,2024-01-01
15,5,80000,2025-01-01
16,6,75000,2023-01-01
17,6,80000,2024-01-01
18,6,85000,2025-01-01
19,7,40000,2023-01-01
20,7,45000,2024-01-01
21,7,50000,2025-01-01
22,8,35000,2023-01-01
23,8,40000,2024-01-01
24,8,45000,2025-01-01
25,9,75000,2023-01-01
26,9,80000,2024-01-01
27,9,85000,2025-01-01
28,10,35000,2023-01-01
29,10,40000,2024-01-01
30,10,45000,2025-01-01
31,11,40000,2023-01-01
32,11,45000,2024-01-01
33,11,50000,2025-01-01
34,12,50000,2023-01-01
35,12,55000,2024-01-01
36,12,60000,2025-01-01
37,13,45000,2023-01-01
38,13,50000,2024-01-01
39,13,55000,2025-01-01
40,14,65000,2023-01-01
41,14,70000,2024-01-01
42,14,75000,2025-01-01
43,15,70000,2023-01-01
44,15,75000,2024-01-01
45,15,80000,2025-01-01
