attendance_id,employee_id,month,days_present,leaves
1,1,2026-01,21,1
2,1,2026-02,21,0
3,1,2026-03,19,3
4,2,2026-01,18,3
5,2,2026-02,20,3
6,2,2026-03,20,3
7,3,2026-01,23,3
8,3,2026-02,19,1
9,3,2026-03,20,1
10,4,2026-01,18,0
11,4,2026-02,23,2
12,4,2026-03,18,0
13,5,2026-01,22,3
14,5,2026-02,22,1
15,5,2026-03,18,0
16,6,2026-01,19,0
17,6,2026-02,22,0
18,6,2026-03,23,1
19,7,2026-01,21,0
20,7,2026-02,22,1
21,7,2026-03,22,0
22,8,2026-01,22,0
23,8,2026-02,21,2
24,8,2026-03,20,1
25,9,2026-01,23,2
26,9,2026-02,19,2
27,9,2026-03,21,1
28,10,2026-01,23,2
29,10,2026-02,21,2
30,10,2026-03,18,0
31,11,2026-01,21,0
32,11,2026-02,18,1
33,11,2026-03,22,2
34,12,2026-01,19,2
35,12,2026-02,18,1
36,12,2026-03,20,2
37,13,2026-01,19,3
38,13,2026-02,22,2
39,13,2026-03,22,0
40,14,2026-01,23,2
41,14,2026-02,23,0
42,14,2026-03,19,2
43,15,2026-01,18,0
44,15,2026-02,23,1
45,15,2026-03,20,2
46,16,2026-01,22,1
47,16,2026-02,23,2
48,16,2026-03,19,2
49,17,2026-01,22,3
50,17,2026-02,20,0
51,17,2026-03,18,3
52,18,2026-01,20,0
53,18,2026-02,18,2
54,18,2026-03,19,2
55,19,2026-01,19,3
56,19,2026-02,22,3
57,19,2026-03,22,0
58,20,2026-01,18,0
59,20,2026-02,23,1
60,20,2026-03,22,0
